id;year;period;level;date_enrollment;student_id;program_id
1;Quality-focused;card Plastic;Computers Personal Loan Account Berkshire;2019-08-09;1;3
2;Investor Public-key;Lebanon;Designer Persistent;2019-08-08;1;8
3;Ergonomic transmitter;Point Orchestrator;Solomon Islands Licensed;2019-08-08;2;4
4;magenta Refined Rubber Gloves;red firewall open-source;deposit Sausages;2019-08-08;4;4
5;Creative Metal;bandwidth azure;SMS Enhanced;2019-08-08;2;9
6;Macao Equatorial Guinea Vision-oriented;Agent;Human deposit;2019-08-08;3;4
7;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;2019-08-09;10;7
8;Home Gloves Latvia;Ports Manager Fish;Networked;2019-08-08;2;8
9;payment calculating;local area network Benin;turn-key dedicated;2019-08-08;6;10
10;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;2019-08-09;8;7
